actual,proposed
-6.507266521453857,-6.494815349578857
-6.532139778137207,-6.507266521453857
-6.363232135772705,0.008471974171698093
-6.381467342376709,-6.363232135772705
-6.39968204498291,1.887501266395475e-10
-6.411813735961914,-6.39968204498291
-6.429994106292725,-6.411813735961914
-6.442340850830078,1.887501266395475e-10
-6.454428195953369,-6.442340850830078
-6.460468292236328,1.887501266395475e-10
-6.466506004333496,-6.460468292236328
-6.478574275970459,-6.466506004333496
-6.062010288238525,-6.154409408569336
-6.06773042678833,-6.062010288238525
-6.062010288238525,-6.06773042678833
-6.050564289093018,0.014583044685423374
-6.050564289093018,4.6344103554751825e-10
-6.033381462097168,-6.050564289093018
-5.932002067565918,4.6344103554751825e-10
-5.926339149475098,0.0017857284983620048
-5.9150071144104,-5.926339149475098
-5.926339149475098,0.0017857284983620048
-5.920673847198486,-5.926339149475098
-5.919516086578369,-5.920673847198486
-5.902513027191162,0.0017857284983620048
-5.9138503074646,-5.902513027191162
-5.919516086578369,0.0017857284983620048
-5.908182621002197,-5.919516086578369
-5.82130765914917,0.0017857284983620048
-5.815697193145752,-5.815697193145752
-5.555794715881348,-5.717926025390625
-5.450235843658447,-5.539449691772461
-5.363092422485352,-5.390028953552246
-5.240260601043701,-5.256369113922119
-5.229514122009277,-5.240260601043701
-5.02830171585083,-5.229514122009277
-5.017873287200928,0.01137484423816204
-5.007438659667969,-5.017873287200928
-4.991777420043945,-5.007438659667969
-4.9708781242370605,-4.991777420043945
-4.801388263702393,-4.9708781242370605
-4.79121208190918,0.013748819008469582
-4.786121845245361,-4.79121208190918
-4.786121845245361,0.013748819008469582
-4.786121845245361,-4.786121845245361
-4.539906024932861,-4.786121845245361
-4.544774532318115,-4.539906024932861
-4.544774532318115,-4.544774532318115
-4.544774532318115,0.001667695352807641
-4.544774532318115,-4.544774532318115
-4.3500261306762695,-4.544774532318115
-4.354715824127197,0.01125740259885788
-4.359404563903809,-4.354715824127197
-4.3640923500061035,0.01125740259885788
-3.8295836448669434,-3.8256213665008545
-3.8414673805236816,-3.8295836448669434
-3.849386692047119,-3.8414673805236816
-3.8533456325531006,3.807816562062527e-10
-3.708320140838623,-3.8533456325531006
-3.71213436126709,0.0017743059433996677
-3.7197611331939697,-3.7159481048583984
-3.6358752250671387,0.01361109223216772
-3.632140874862671,-3.6358752250671387
-3.628406047821045,0.0017781135393306613
-3.507593870162964,-3.628406047821045
-3.5148255825042725,0.0017781135393306613
-3.5039772987365723,-3.5148255825042725
-3.4967427253723145,-3.5039772987365723
-3.4931247234344482,0.0017781135393306613
-3.4931247234344482,-3.4931247234344482
-3.3597419261932373,0.0017781135393306613
-3.3597419261932373,-3.3597419261932373
-3.3597419261932373,-3.3597419261932373
-3.3597419261932373,0.013245770707726479
-3.3597419261932373,-3.3597419261932373
-3.1790361404418945,0.013245770707726479
-3.1790361404418945,-3.1790361404418945
-3.1823501586914062,-3.1790361404418945
